#n_proc  nx  ny  nz  n_omp  n_steps  Calc_dt  Hydro  Boundaries  Grav_Potential  Pot_Boundaries  Part_Density  Part_Boundaries  Part_Dens_Transf  Advance_Part_1  Advance_Part_2  Chemistry  Total
8 256 256 256 7 100 84.3956 2344.86 660.404 2087.19 63.488 21.9495 260.403 32.2368 33.8283 56.1535 192.176 5764.05
16 512 256 256 7 100 83.5569 2382.86 1620.54 3087.27 131.267 22.1865 286.788 51.4157 33.8657 56.4435 193.536 7842.24
32 512 512 256 7 100 116.948 2571.81 1639.72 3625.61 132.187 22.7628 325.448 51.7495 34.1005 56.87 202.99 8661.9
64 512 512 512 7 100 100.259 2702.86 1614.47 4250.86 134.342 23.3755 296.146 53.1285 34.4992 57.5852 212.837 9350.32
128 1024 512 512 7 100 171.275 2704.42 1886.7 5696.69 148.569 24.436 343.051 56.8914 34.7424 57.8058 217.145 11203.1
256 1024 1024 512 7 100 333.968 2928.03 2084.94 6149.94 162.059 25.1191 329.62 59.1555 35.5966 58.6774 218.645 12248.6
512 1024 1024 1024 7 100 659.397 2989.2 2253.39 7194.46 168.731 25.4333 382.556 59.5908 37.946 59.0246 219.319 13901.8
1024 2048 1024 1024 7 100 966.22 3589.7 3147.25 7820.61 230.615 26.8588 355.876 63.0953 37.7128 59.14 221.683 16364.7
2048 2048 2048 1024 7 100 1507.13 4345.74 3153.45 8268.22 230.353 28.6818 440.801 65.3889 39.3002 62.0711 220.146 18204
4096 2048 2048 2048 7 100 1813.66 4722.86 3379.83 7943.65 249.18 29.4266 471.962 71.0731 41.7929 64.5003 224.241 18858.6
8192 4096 2048 2048 7 100 2381.56 5381.18 4009.84 8572.39 283.494 31.636 551.956 76.8964 44.1213 66.1967 227.057 21481.7
16384 4096 4096 2048 7 100 2754.47 5795.77 4843.38 9696.12 337.119 36.8235 558.733 90.5726 47.5972 72.5794 235.371 24333.4
